Season,Name,IP,FA,FT,Zone,K,BB
2012,Kris Medlen,138,89.6,89.9,0.517,0.231,0.044
2015,Zack Greinke,222.2,91.8,91.3,0.450,0.237,0.047
2013,Clay Buchholz,108.1,91.9,92.8,0.474,0.231,0.087
2015,Jake Arrieta,229,94.4,,0.479,0.271,0.055
2014,Clayton Kershaw,198.1,92.9,,0.526,0.319,0.041
2016,Clayton Kershaw,121,92.9,,0.534,0.329,0.020
2013,Clayton Kershaw,236,92.5,,0.502,0.256,0.057
2008,Rich Harden,148,91.7,,0.462,0.304,0.103
2016,Kyle Hendricks,165,89.7,,0.497,0.224,0.063
2015,Clayton Kershaw,232.2,93.6,,0.497,0.338,0.047
2014,Felix Hernandez,236,92.5,,0.443,0.272,0.050
2006,Francisco Liriano,121,,,,0.304,0.068
2009,Zack Greinke,229.1,93.7,89.1,0.481,0.265,0.056
2014,Chris Sale,174,92.8,93.7,0.494,0.304,0.057
2013,Jose Fernandez,172.2,94.8,93.6,0.550,0.275,0.085
2009,Chris Carpenter,192.2,93.2,,0.505,0.192,0.051
2014,Johnny Cueto,243.2,92.8,93,0.490,0.252,0.068
2010,Felix Hernandez,249.2,94.4,,0.544,0.232,0.070
2013,Matt Harvey,178.1,95.4,96.4,0.519,0.277,0.045
2011,Clayton Kershaw,233.1,93.2,,0.521,0.272,0.059
2006,Roger Clemens,113.1,,,,0.226,0.064
2010,Josh Johnson,183.2,94.7,94.9,0.517,0.250,0.065
2011,Johnny Cueto,156,92,93.4,0.448,0.165,0.075
2010,Clay Buchholz,173.2,94.1,,0.502,0.169,0.094
2011,Roy Halladay,233.2,91.3,91.9,0.516,0.236,0.038
2014,Adam Wainwright,227,90.5,,0.508,0.199,0.056
2011,Cliff Lee,232.2,91.4,91.5,0.597,0.259,0.046
2011,Justin Verlander,251,95,95.1,0.510,0.258,0.059
2011,Jered Weaver,235.2,89.2,88.8,0.491,0.214,0.061
2014,Doug Fister,164,87.9,87.8,0.543,0.148,0.036
2010,Adam Wainwright,230.1,93.5,,0.511,0.234,0.062
2015,Jaime Garcia,129.2,90,90.2,0.496,0.190,0.059
2010,Roy Halladay,250.2,92,92.5,0.522,0.221,0.030
2014,Corey Kluber,235.2,93.2,,0.510,0.283,0.054
2015,David Price,220.1,94,94.1,0.539,0.253,0.053
2014,Jon Lester,219.2,91.5,,0.463,0.249,0.054
2014,Cole Hamels,204.2,92.1,,0.495,0.239,0.071
2009,Tim Lincecum,225.1,92.4,89.9,0.490,0.288,0.075
2016,Noah Syndergaard,167,98,,0.486,0.290,0.058
2015,Dallas Keuchel,232,89.6,89.5,0.401,0.237,0.056
2009,Felix Hernandez,238.2,93.8,,0.518,0.222,0.073
2016,Madison Bumgarner,193.2,90.6,91,0.466,0.278,0.063
2014,Jake Arrieta,156.2,93.4,,0.470,0.272,0.067
2012,Clayton Kershaw,227.2,93,,0.505,0.254,0.070
2014,Danny Duffy,149.1,93.2,92.2,0.530,0.187,0.088
2008,Johan Santana,234.1,91,,0.534,0.214,0.065
